station_id,longitude,latitude,charge_count,TAZID,area,perimeter
1001,113.784724,22.714121,20,559,5726523.056,9624.5755
1002,113.785002,22.7259,22,558,3927542.045,8189.3687
1003,113.787971,22.735538,6,558,3927542.045,8189.3687
1004,113.788126,22.693449,11,596,2972113.241,7335.1002
1006,113.790987,22.731351,10,594,2044150.527,5825.1986
1008,113.791756,22.698816,44,596,2972113.241,7335.1002
1009,113.794798,22.716747,72,595,3387279.995,7579.4307
1011,113.795042,22.716825,65,595,3387279.995,7579.4307
1013,113.796557,22.728199,28,594,2044150.527,5825.1986
1014,113.802875,22.689785,12,598,2111843.466,6822.822
1015,113.804285,22.743436,12,587,2884903.761,6882.2666
1016,113.806076,22.673562,22,553,3375350.041,8497.3686
1017,113.806362,22.747566,6,587,2884903.761,6882.2666
1018,113.813599,22.77499,6,576,2674997.258,6996.8152
1019,113.813758,22.668147,13,552,3220526.259,8122.5987
1021,113.813893,22.732382,12,588,2727566.75,6521.8358
1022,113.814009,22.732434,12,588,2727566.75,6521.8358
1023,113.814083,22.773128,32,576,2674997.258,6996.8152
1027,113.81453,22.73241,17,588,2727566.75,6521.8358
1028,113.814955,22.734709,12,587,2884903.761,6882.2666
1029,113.81544,22.70772,78,592,3721212.728,9690.8819
1031,113.816086,22.735424,12,587,2884903.761,6882.2666
1032,113.816457,22.737977,10,587,2884903.761,6882.2666
1035,113.816868,22.659092,36,552,3220526.259,8122.5987
1037,113.816951,22.732771,55,588,2727566.75,6521.8358
1038,113.816985,22.733921,80,587,2884903.761,6882.2666
1040,113.817222,22.703489,10,592,3721212.728,9690.8819
1041,113.819553,22.747975,12,585,3455179.415,7751.1877
1042,113.819783,22.771169,19,576,2674997.258,6996.8152
1043,113.822971,22.768229,15,576,2674997.258,6996.8152
1044,113.823965,22.731323,6,584,2592298.944,6711.4272
1045,113.824374,22.647778,36,1029,29682209.72,25724.1136
1047,113.82565,22.727942,20,589,3552752.123,7593.7928
1049,113.825795,22.733191,8,584,2592298.944,6711.4272
1050,113.826349,22.716272,10,589,3552752.123,7593.7928
1052,113.8273,22.752012,8,580,3836020.245,8158.3482
1054,113.82838,22.728282,12,589,3552752.123,7593.7928
1056,113.828819,22.71482,4,589,3552752.123,7593.7928
1057,113.829524,22.771198,17,575,3061268.967,7383.3287
1058,113.829739,22.7304,24,584,2592298.944,6711.4272
1059,113.829771,22.722116,22,589,3552752.123,7593.7928
1060,113.829897,22.732951,17,584,2592298.944,6711.4272
1061,113.830914,22.720581,10,589,3552752.123,7593.7928
1062,113.832054,22.713874,12,582,3932985.579,9728.5705
1063,113.832858,22.724242,1,589,3552752.123,7593.7928
1064,113.833016,22.722722,12,589,3552752.123,7593.7928
1065,113.833452,22.727181,4,589,3552752.123,7593.7928
1066,113.833747,22.721038,10,589,3552752.123,7593.7928
1068,113.83419,22.71301,12,582,3932985.579,9728.5705
1069,113.834711,22.641907,82,1031,4911242.789,9786.1921
1071,113.834988,22.634927,18,1031,4911242.789,9786.1921
1072,113.835707,22.600407,14,520,3111930.817,7352.3793
1073,113.837596,22.633479,12,1031,4911242.789,9786.1921
1074,113.837761,22.742158,12,580,3836020.245,8158.3482
1075,113.83804,22.625504,18,1031,4911242.789,9786.1921
1076,113.838491,22.605773,98,520,3111930.817,7352.3793
1080,113.840979,22.63656,12,1031,4911242.789,9786.1921
1081,113.841113,22.637101,6,1031,4911242.789,9786.1921
1083,113.841307,22.606709,11,522,1956536.412,6419.1707
1084,113.841443,22.636479,3,1031,4911242.789,9786.1921
1085,113.841816,22.606214,6,522,1956536.412,6419.1707
1087,113.842774,22.7206,6,582,3932985.579,9728.5705
1088,113.84363,22.726903,8,582,3932985.579,9728.5705
1089,113.843983,22.595693,12,520,3111930.817,7352.3793
1090,113.846998,22.602568,9,522,1956536.412,6419.1707
1093,113.847831,22.602124,6,519,4604265.238,8854.3041
1095,113.848038,22.572502,12,527,2104763.882,6132.2759
1096,113.848326,22.572635,42,527,2104763.882,6132.2759
1097,113.84901,22.781845,24,577,1998027.015,8846.7074
1098,113.84918,22.57424,38,527,2104763.882,6132.2759
1100,113.849604,22.572622,24,527,2104763.882,6132.2759
1102,113.850167,22.593366,12,519,4604265.238,8854.3041
1103,113.85186,22.605827,3,519,4604265.238,8854.3041
1104,113.852514,22.603132,6,519,4604265.238,8854.3041
1105,113.853058,22.766131,12,578,3262042.514,8507.0798
1107,113.854665,22.611685,13,522,1956536.412,6419.1707
1109,113.855179,22.611119,13,522,1956536.412,6419.1707
1110,113.855278,22.566642,30,526,3175053.094,7269.63
1111,113.855288,22.607174,16,519,4604265.238,8854.3041
1112,113.855303,22.611936,13,513,7294701.075,12584.9552
1114,113.855363,22.601238,6,519,4604265.238,8854.3041
1115,113.855391,22.57092,26,526,3175053.094,7269.63
1116,113.855772,22.609421,34,522,1956536.412,6419.1707
1117,113.855971,22.611978,13,513,7294701.075,12584.9552
1118,113.856007,22.612175,13,513,7294701.075,12584.9552
1119,113.856092,22.612233,12,513,7294701.075,12584.9552
1120,113.856308,22.730137,12,601,3716735.43,9999.2932
1121,113.856741,22.56679,75,526,3175053.094,7269.63
1123,113.85752,22.567721,3,526,3175053.094,7269.63
1124,113.857879,22.568642,6,526,3175053.094,7269.63
1125,113.857964,22.772703,9,570,3371908.048,13670.3384
1126,113.858087,22.586088,41,519,4604265.238,8854.3041
1127,113.858206,22.575802,30,527,2104763.882,6132.2759
1128,113.85828,22.773103,12,570,3371908.048,13670.3384
1129,113.85835,22.585807,13,519,4604265.238,8854.3041
1130,113.858483,22.613352,6,513,7294701.075,12584.9552
1134,113.859057,22.615196,24,529,988491.3026,4061.4337
1136,113.859444,22.570953,18,526,3175053.094,7269.63
1137,113.859834,22.576519,12,526,3175053.094,7269.63
1138,113.860658,22.601418,26,519,4604265.238,8854.3041
1139,113.860693,22.575073,6,526,3175053.094,7269.63
1140,113.861156,22.612196,12,513,7294701.075,12584.9552
1141,113.861193,22.615941,12,529,988491.3026,4061.4337
1142,113.861715,22.584554,12,519,4604265.238,8854.3041
1143,113.862252,22.615362,12,529,988491.3026,4061.4337
1144,113.86248,22.572367,13,526,3175053.094,7269.63
1145,113.862667,22.583094,45,519,4604265.238,8854.3041
1146,113.862667,22.583094,8,519,4604265.238,8854.3041
1147,113.863014,22.62068,12,513,7294701.075,12584.9552
1149,113.863746,22.583958,23,519,4604265.238,8854.3041
1152,113.864019,22.615153,12,513,7294701.075,12584.9552
1153,113.864087,22.613655,12,513,7294701.075,12584.9552
1154,113.864171,22.575448,14,526,3175053.094,7269.63
1155,113.864174,22.625239,71,516,1485980.953,5828.7387
1160,113.864792,22.572926,3,526,3175053.094,7269.63
1161,113.864927,22.613987,6,513,7294701.075,12584.9552
1163,113.866441,22.567589,41,526,3175053.094,7269.63
1164,113.866689,22.618444,30,513,7294701.075,12584.9552
1165,113.866916,22.617125,18,513,7294701.075,12584.9552
1166,113.867031,22.565063,12,526,3175053.094,7269.63
1168,113.867697,22.614744,6,513,7294701.075,12584.9552
1169,113.867997,22.614925,6,513,7294701.075,12584.9552
1172,113.868511,22.585276,6,519,4604265.238,8854.3041
1173,113.868922,22.578733,4,528,1606363.081,5175.1166
